,review
10,"Set inside the buzzing Union Market, Rappahannock Oyster Bar is so much more than a popular bivalve joint. The feel-good revival story behind it will make you feel more philanthropist than hungry diner, and the ambience is everything you’d expect and then some: counter space, communal seating, a sprinkling of outdoor tables and an open-air vibe.While the spotlight here is on the raw bar (order the sampler, a veritable love letter to the Virginia waters), cooked dishes give those half-shells a run for their money. Clam chowder is thick, creamy and full of briny meat; and though the steamed shrimp dish sounds simple, these spicy shell-on specimens, served with a hunk of bread, sautéed onions and peppers, are a messy but delicious affair.
"
11,"You will indeed fare well at Bidwell, tucked inside Union Market with its array of stalls peddling everything from arepas to empanadas. It checks off all of the boxes for a modern hot spot with its industrial-chic design, hipster-packed bar and buzz-worthy cooking. Bidwell takes the farm-to-table trend and tops it—quite literally—since the rooftop garden supplies much of the produce.Salads are a great way to sample the goods of this kitchen. Start with the Cobb, combining crisp romaine, cherry tomatoes, blue cheese and slices of perfect skirt steak. The popular Irish-American onion soup pairs well with a selection of sausages, while grilled chicken sandwich is a lunchtime thrill. Butterscotch pudding with chocolate shavings is an absolute sweet treat.
"
12,"This concept from Chef Juan Manuel Barrientos can be found adjacent to Union Market's La Cosecha. Presentation is the cornerstone here, with an admirable level of showmanship and dishes embody a love letter to the chef's native Colombia.À la carte is the rule in the front room, but make your way down to an intimate space for serious culinary sorcery. This is deeply personal cooking that utilizes the bounty of fish, grains, and tropical produce. Behold a carrot soup with guava jelly (inspired by the chef's grandmother) or hamachi atop a plantain chip (a nod to his Japanese chef mentor). Your meal's culmination may be as chimerical as its commencement, with an ice-cold plate bearing a swipe of lulu ice cream sprinkled with apple-basil powder.
"
13,"You’ll want to wake up with the rooster to score a reservation at this rustic Italian gem as it’s incredibly popular, and always packed. Walk-ins can snag a seat at the three-sided bar that anchors the room, decked out in full country charm with exposed brick walls, reclaimed timber and beamed ceilings. What’s so special, you ask? The food, of course, which is terrific. Pastas are spot on and include cacio e pepe “arancini,” crowd-favorite mezzi rigatoni or even the mafalde verde—a sweet-and-savory combo of braised duck ragù, Calabrian chili and pecorino romano. Entrées like grilled short rib or scallops with pickled chili aïoli are also exquisite.The short wine list features unusual selections (Slovenia, anyone?) and very affordable prices.
"
14,"Chef Barry Dindyal is the talent behind this prominent and retro Petworth destination. Diners here will find that time mostly stands still inside, thanks to a simple (by design) aesthetic, dominated by wood with hints of orange, pleather booths and a buzzy bar. Throwback decor aside, most diners are here for the chef's delicate rendition of beloved Southern classics. Crisp, tender and enticingly juicy, fried chicken takes center stage. Like most other items on this menu, it is made-to-order daily and absolutely worth the wait. When coupled with succulent vegan collard greens or homemade French fries, it transforms into a heartwarming delight. Can't manage another morsel? A taste of the lemon cake slathered with butter cream will change your mind in a flash.
"
15,"It may be the signature cry for falling objects, but Timber Pizza Co is only on its way up. This popular neighborhood hangout is on a mounting spiral after transitioning from a farmer’s market fave to a brick-and-mortar crowd magnet that also boasts a booming takeout business.So what’s all the fuss about? It’s the flavorful cooking, of course. A few bites into the Griffin salad and it’s clear this kitchen knows how to handle itself. Those in the know order a half and half to explore the wide variety of pizzas. The D&amp;D’s mix of za’atar, finely diced sweet peppers and garlic chips is inventively delicious; while The Hughes piles bacon, cherry tomatoes, jalapeños and basil atop a white cheese pie slathered with a subtle and sweet tomato sauce.
"
16,"Once a pop-up and now a full-fledged brick-and-mortar establishment, this young'un is making waves in the city’s ramen scene. The kitchen runs the length of this sleek, narrow space in Petworth; and the young chefs running it move about with the deftness of a team many years older. They are as focused as the menu, which is all ramen except for the karaage served with yuzu mayo.Carefully composed bowls feature thin, chewy, house-made noodles accompanied by delicate broths with nuance and depth. The signature bowl is a smoky, triple-threat combination of tonkotsu, chicken chintan and dashi. The soy-sauce-based truffle shoyu, which also features meaty cuts of pork belly, spinach and bamboo shoots, warrants slurping. Vegan ramen is also available.
"
17,"Chef Rob Sonderman of the Federalist Pig has expanded to chicken—well, an updated version of fried chicken to be precise. This Petworth perch resembles a modern diner with old-school vibes. Yellow-upholstered booths in alcoves are a haven of privacy, while the ubiquitous counter is best for solo guests.The menu, not unlike the concept, is focused. Guests can build their own bucket (or combo) and sandwich, which can be made with waffles. Starters like hot honey cauliflower; and sides like buttermilk smashed potatoes hit all the right spots. Spicy seasoning is an option for those who dare, but rolls—finished with honey butter and Maldon sea salt—are a must. Then comes the ""fancy fried chicken,"" which is brined for 24 hours and fried to crisp perfection. 
"
18,"This cozy Ethiopian den is an homage to Owner Selam Gossa's mother, who was a chef back in Addis Ababa. The setting, featuring a few tables framed by mismatched chairs, a long bar, and private backyard, isn't much to write home about. Having said that, the compact menu encompassing all the classics brings diners in by the droves. From vegetarian options to staples like tibs, this kitchen does it all. A platter of spongy injera is served with each dish for a bit of flourish. Tear strips of it to dip into the fragrant yebeg we't (spiced lamb stew with red chili sauce); or the shiro we't special (chickpea flour stew with tomato, garlic, and spices). With such quenching sips as the Builder (a take on the spritz with Ethiopian Honey Wine), who needs dessert?
"
19,"Walk by the kitchen at this Columbia Heights Puebla-inspired restaurant and you'll see a chef forming corn masa into tortillas and cooking them on the griddle. It's the attention to detail that makes this Mexican spot a neighborhood favorite. The menu may be concise, but every dish is made fresh and with great care. Even the green salsa that hits the table as soon as you take your seat is a standout. Start with the tacos—lighter than traditional tortillas—typically layered with crispy-edged, juicy barbacoa and red chili oil-flavored chorizo. Follow that up with the regional specialty—mole poblano with tender chicken and a slightly sweet, slightly kicky Puebla-style sauce. Good news for suburban dwellers—there is a sister location in Maryland. 
"
20,"Greeting diners at this tiny Columbia Heights retreat is a yellow neon sign. The interior design, however, exudes all the understated feels, by way of white floors, blue banquettes, an intricately decorated counter and sleek metal stools. Nooks framed by geometric screens ensure the utmost privacy.The menu reveals a modern take on Hong Kong plates. These high-heat wok dishes show a blend of fresh ingredients and balanced flavors. Lotus root salad with anchovy dust and a charred tomato vinaigrette; or cured hamachi spiced with cumin, brushed with seaweed oil and set atop watermelon make for a great starting point. Not far behind, Wagyu rosettes gently poached in a ""mala"" broth are crowned by duck egg yolk and soy foam for a flourishing finish. 
"
21,"If you've ever considered ordering dessert first, do it here. Flaky, crispy roti canai served with a delicate pandan coconut cream offers a faithful Asian twist on the classic French Toast. It's the kind of cross-cultural deliciousness you can expect from this Malaysian kitchen team, which takes its culinary cues from India and China.To that end, both noodles and rice form the heart of this menu. Char kway teow features seared flat rice strands tossed with shrimp, Chinese sausage and bean sprouts. Hearty pork vindaloo boasts layer upon layer of just the right spice, heat and acid. Fried chicken arrives doused in a yellow curry flecked with curry leaves. Yes, you should share everything, but no, you cannot nap on those turquoise couches after.
"
22,"Chef/co-owner Seng Luangrath continues to wow crowds with Thip Khao, in ever-transforming Columbia Heights. The menu tempts with its sheer variety of tempting options ranging from snacks and salads to soups, curries and a panoply of entrées. Naem khao, a crispy coconut rice salad, bursts with fresh and fragrant flavor, while muu som, cured and slow-cooked pork belly, is wonderfully fatty. Crispy pig ears dusted with a deliciously tart tamarind salt and dipped in fermented chili-fish sauce are both original and outstanding; but the knap paa, or Chilean sea bass, is a true standout. Brushed with curry paste and coconut cream, then grilled in a banana leaf, this dish will have you wondering if it's dinner or a present?
"
23,"The mood in this wee dining room is appealingly boisterous, and the food nothing less than well regarded. Yet this team has never let good press go to their heads. Instead, they continue to up their game by creating an array of adobos and other dynamo dishes, inspired by the Philippines with subtle Chinese and Spanish influences.Don’t look for homestyle, since they do their best work on genre-bending dishes. Dig into the vibrant purple ensaladang ifugao, or kinilaw na pugita with octopus and salt-cured olives. Some may even throw caution to the wind and go for the weekly dinner menu, unveiling the likes of adobong dilaw. This moist and tender claypot chicken special, tossed with turmeric-infused coconut sauce, is best when paired with a mound of white rice.
"
24,"Set inside the buzzing Union Market, Rappahannock Oyster Bar is so much more than a popular bivalve joint. The feel-good revival story behind it will make you feel more philanthropist than hungry diner, and the ambience is everything you’d expect and then some: counter space, communal seating, a sprinkling of outdoor tables and an open-air vibe.While the spotlight here is on the raw bar (order the sampler, a veritable love letter to the Virginia waters), cooked dishes give those half-shells a run for their money. Clam chowder is thick, creamy and full of briny meat; and though the steamed shrimp dish sounds simple, these spicy shell-on specimens, served with a hunk of bread, sautéed onions and peppers, are a messy but delicious affair.
"
25,"You will indeed fare well at Bidwell, tucked inside Union Market with its array of stalls peddling everything from arepas to empanadas. It checks off all of the boxes for a modern hot spot with its industrial-chic design, hipster-packed bar and buzz-worthy cooking. Bidwell takes the farm-to-table trend and tops it—quite literally—since the rooftop garden supplies much of the produce.Salads are a great way to sample the goods of this kitchen. Start with the Cobb, combining crisp romaine, cherry tomatoes, blue cheese and slices of perfect skirt steak. The popular Irish-American onion soup pairs well with a selection of sausages, while grilled chicken sandwich is a lunchtime thrill. Butterscotch pudding with chocolate shavings is an absolute sweet treat.
"
26,"This concept from Chef Juan Manuel Barrientos can be found adjacent to Union Market's La Cosecha. Presentation is the cornerstone here, with an admirable level of showmanship and dishes embody a love letter to the chef's native Colombia.À la carte is the rule in the front room, but make your way down to an intimate space for serious culinary sorcery. This is deeply personal cooking that utilizes the bounty of fish, grains, and tropical produce. Behold a carrot soup with guava jelly (inspired by the chef's grandmother) or hamachi atop a plantain chip (a nod to his Japanese chef mentor). Your meal's culmination may be as chimerical as its commencement, with an ice-cold plate bearing a swipe of lulu ice cream sprinkled with apple-basil powder.
"
27,"You’ll want to wake up with the rooster to score a reservation at this rustic Italian gem as it’s incredibly popular, and always packed. Walk-ins can snag a seat at the three-sided bar that anchors the room, decked out in full country charm with exposed brick walls, reclaimed timber and beamed ceilings. What’s so special, you ask? The food, of course, which is terrific. Pastas are spot on and include cacio e pepe “arancini,” crowd-favorite mezzi rigatoni or even the mafalde verde—a sweet-and-savory combo of braised duck ragù, Calabrian chili and pecorino romano. Entrées like grilled short rib or scallops with pickled chili aïoli are also exquisite.The short wine list features unusual selections (Slovenia, anyone?) and very affordable prices.
"
28,"Rasika vets, Dante Datta and Chef Suresh Sundas, are behind this much-anticipated Indian operation. The corner space, flaunting a windowed façade and white-ringed Sanskrit logo, is an instant attention grabber. Weather permitting, a large sidewalk increases the dining capacity.Inside, at the bar-counter set abuzz with vibrant tunes, the kitchen team takes classic Indian cuisine in a novel direction. Is that blue cheese on your tandoor-grilled chicken kebabs? Yes, indeed. Matched with sour cherry reduction and cashews, it's as enticing a preparation as the boldly spiced minced bison momos. Nariyal lamb shank is rich and robust with saffron, chili and coconut. Sop up the heady sauce with light basmati rice and call it a night.
"
29,"Stone-cold serious barbecue makes its way to the DC area via this rustic spot from owner, Steve Salis. A handful of communal picnic tables arranged under a string of bistro lights mark the entrance to the Federalist Pig. Once inside, you’ll see a long line of customers snaking through the space, waiting to order at the counter, where the servers pile your grub onto butcher paper-lined trays. Over in the kitchen, the pitmaster's wood-smoked pork, brisket and turkey might just be some of the best ‘cue you’ll find in town. So do yourself a favor and order the “works” to try a bit of everything only to find that almost nothing disappoints. Equally craveable are their inventive and filling sandwiches, with clever names like The Faux Q or The Big Bad Wolf. 
"
30,"“Sababa,” which means “cool” in Hebrew slang, is exactly as advertised. Sharing a wall and connected by a gorgeous zinc bar to Bindaas next door, this ode to the Middle East is awash in Mediterranean tiles. But despite the hip digs, it’s all about food here. The fine-tuned menu features Israeli salads, dips and kebabs, but small plates are its heart and soul. Start with salatim, a five-salad starter. Then choose from dishes such as charred eggplant with herbed labneh, fried cauliflower with tahini and raisins or pomegranate-glazed chicken liver. The list goes on, but one thing to never skip is the hummus. It’s so much more than the usual that it’s even listed as a daily special. Keeping in line with the spirit is their Israeli- and Greek-focused wine list.
"
31,"Climb the creaky wooden stairs and take your seat among a homey hodgepodge of chairs and tables. If it feels like someone’s house, that’s the point (you’ll pour your own water, too). There’s no menu to bother with, so settle in with your pals and prepare yourself for a parade of Thai dishes that satisfies hungry patrons without breaking the bank.Feast on up to ten different dishes, ranging from dumplings, green papaya salad and pork skewers, before delving into the kitchen’s signature pumpkin curry. The tender pumpkin cubes bobbing in a red curry balances its sweetness without ever tasting like dessert. Tom yum soup is another crowd-pleaser with shrimp as well as a zippy lime and fish sauce. Mango coconut sticky rice closes out the night on a tropical note.
"
32,"This airy, quaint, and relaxed all-day spot likes to keep things low-maintenance. The price point too is agreeably lower than its fussier competitors, and the Latin American food is decidedly scrumptious. No wonder, it's a legitimate local favorite.Breakfast is a must, especially if the messy, eggy arepa is on offer. Served wrapped in a white pouch, it resembles a present crafted from seared masa and filled with a fried egg, tomato, cotjia, and avocado. At dinner, hungry fans head to the intimate second-level space—complete with original details—to try their hand at tender pork empanadas laced with aji and the heavenly scent of garlic. The masa “gnocchi” is a rare treat, tossed with braised beef, maitake mushrooms, and loads of herbs.
"
33,"Maketto is the love child of the hip gods of fashion and food. Walk in off ever-changing H Street and you’ll instantly be met with glittering cases brimming with eyewear and accessories. Stave off the urge to shop (for now) and focus on the menu instead—a mod mashup of Cambodian and Taiwanese items. Coupled with inventive cocktails, it is proof positive that this is far from your average department store diner.Everything on this menu is meant to share, though you might not want to with creative efforts like crispy Gruyère dumplings with Chinese beef chili. Classic soup dumplings are a favorite and fried chicken finished in a five-spice caramel is a high point. Spicy lamb noodles with fermented chili paste showcase the kitchen’s skill with a wok.
"
34,"Many restaurants boast of inspired flavors and technique, but few flaunt such cooking prowess as Maydān—a veritable showstopper whose roaring hearth verges on wildfire. The precision required of the team may be consuming and cooking technique elemental, but the results are delicious bliss. À la carte is available, but the prix-fixe is a popular feast, with bread and spreads; veggies and meats; and a dessert to round it out. Flatbreads with muhamarra, hummus and smoked mutabal is a meal unto itself; while tahini-coconut rice pudding with candied cardamom makes a compelling finish.Guests seated in this rustic space—with patterned wood and lofty ceilings—are made even more comfortable with an array of singular Middle Eastern-inspired sips and labels.
"
35,"You’ll go up the stairs, not down to Toki Underground, which shares the same front door as The Pug Bar. Once inside, notice raw wood beams, walls plastered with stickers and scribble, as well as dangling Christmas lights that exude a sense of childlike angst. That angst may grow into full-blown annoyance, as the waits are staggeringly long (there are just 30 counter seats and no tables), but come for lunch to steer clear of all lines.Fried chicken steamed buns; lightly battered and delicately fried enoki mushrooms; or pork dumplings are a good way to start things off. The Toki classic with chashu pork and a soft egg is a signature dish, and the broth is slurp-worthy. Its stick-to-your-bones porky intensity is especially memorable.
"
36,"There are more than seven reasons to visit this gorgeous bi-level restaurant and good looks are certainly one. The airy and sophisticated décor features greenery crawling up the brick walls and elegant mid-century modern touches.The food too generates plenty of buzz, thanks to an ambitious menu that pulls from Venezuela, Peru, and the Caribbean.Watch as the chefs get down to business in the bright open kitchen. Generously portioned, their creations certainly pack a punch with a litany of ingredients. Patacón piña colada unveils discs of fried green plantains, topped with pickled pineapple, shaved coconut, and a myriad of sauces—think cilantro mojo and caper mayo. It arrives garnished with purple micro greens and is a riot of color and flavors to match.
"
37,"A simple black and glass facade belies the delicious small plates available at this place. Pass a set of double doors to be greeted by a U-shaped bar, arched ceilings, and romantic dining room, Fitted out with muted green-tiled floors and snug tables, the restrooms are perhaps the most unique feature here—displaying clever illustrations of wine descriptions. Unsurprisingly, natural wines are a serious focus and pair wonderfully with the shareable plates.Begin with grilled oysters and garlic butter or meatballs atop polenta. Then indulge in the star of the show—house-made pasta, like tagliolini tossed with Maine uni, tomato sauce, and preserved lemon breadcrumbs. A round of semifreddo with olive oil, grilled citrus, and coarse salt nicely finishes the show.
"
38,"Pioneers of vegan cuisine, the power couple behind this operation initially made it big at Philly’s Vedge. Set at the base of an urbane building, the industrial-chic space is abuzz with locals, who are all here for their haute approach to vegan cuisine. Having said that, they turn out so much more than just that. Flavorful and satisfying are words that come to mind when sampling razor-thin trumpet mushrooms, which are a clever stand-in for pasta, bathed with a silky broth. Rich and spicy dan dan noodles are then tossed with a tahini-based sauce for a glossy and intensely savory bite.This kitchen team keeps you on your toes right through dessert—when hearty chickpea-flour donuts are paired with rhubarb- and sour cherry-gazpacho for a delectable last act.
"
39,"The flavors and heat of Southeast Asian are on full display at this Northeast DC eatery. Though the menu spans much of the country, Laos’ menu—sporting a section devoted entirely to vegans—still manages to be original, offering ingredients that are rarely found in similar restaurants. It also promises—and delivers on—dishes marked “phet"" (or spicy).Generous slices of sausage with savory herbs are served with crunchy green papaya, peanuts and fiery green chili; while the chef’s signature papaya salad arrives with bright green beans, Laos pork loaf and a mellow fermented fish sauce. Don’t miss the unique orm, a tender chicken-and-dill curry, imbued with Asian eggplant, cabbage, scallions and more green beans.
"
40,"It’s yellow, not the deep blue of its name, that defines this sunny Indian restaurant. Located in a cheerful house with a patio full of colorful picnic tables, Indigo is far from fancy (it’s largely self-service and food is served in disposable containers). But, how can you not adore a place where love notes from customers cover the walls? Indian expats and residents line up for classic comfort cooking from the sub-continent such as the spicy chicken masala and tender, melt-in-your-mouth goat curry. Even side dishes are elevated here—for instance, daal is packed with smoky flavor and doused in a cardamom-scented relish, while paneer paratha (flatbread stuffed with cheese, onion, chopped red chilies and cilantro) is especially fluffy.
"
41,"This family-owned and operated Adams Morgan spot easily gives its brethren a run for their money—the food is that good. Its interior is welcoming, flooded with natural light and generously spaced tables; comfortable booths along one wall, beautiful artwork, as well as a long bar pouring wines and spirits welcomes one and all.This kitchen's exquisite cuisine reflects the many fascinating nuances of Ethiopia itself. While many cultures break bread together, few do it as well as this one, where injera is torn apart to scoop up stews, like awaze tibs. Its tender lamb cubes in a smoky, brick-red berbere are simmered to tender perfection, then crowned with greens, spicy lentils and potatoes for a dish that rarely receives the credit—or fanfare—it is due.
"
42,"It's set on busy 14th Street, but beautiful Bresca far from blends in with the crowd. Instead, it mixes the warmth of a neighborhood treasure with the talent of a special occasion spot. Inside, splashes of gold, a living wall crafted from moss and design elements teetering between whimsical and downright surreal, create a contemporary vibe. The cooking is casual yet ambitious, thanks to Chef Ryan Ratino’s cutting-edge credentials. His menu is divided into categories, like snacks, medium plates, and large, shareable plates. Find a clear sense of artistry in the likes of a foie gras ""negroni"" topped with Campari gelée or the agreeably priced and perfect pappardelle with lamb ragù.Cocktails, like The Daulphine St. Punch, may be relished in lieu of dessert.
"
43,"The neighborhood teems with energy, and this Italian dining room dances to that same beat. Though a second location lives on in Georgetown, this original is unmatched in both charm and quality. The lower level of this two-storied space feels much like an osteria, thanks to a welcoming Carrara marble bar and communal tables; while the upstairs flaunts a more rustic vibe.On the menu, grilled octopus with cannellini bean salad and fried artichokes with bagna cauda make for a fantastic start. But the heart of this kitchen is the homemade pasta. Paccheri tossed with octopus and prawns; ravioli stuffed with braised short ribs; or eggy tagliatelle tangled with Italian sausage and cherry tomatoes offer warmth and comfort. Finish with the Nutella bomboloni.
"
44,"Set in a stylish space with playful décor (one wall boasts a picture of President Obama eating a double), this is a menu devoted to Trinidadian street food. The chef's experience at some of the top kitchens in DC simply ensures that quality and execution is through the roof. Everything prepared by the kitchen is delicious: think rich stews, perfect doubles and channa, redolent of spices and heat. The pepperpot arrives smoldering with aromatic cinnamon; while perfectly braised brisket in spicy brown sauce features tender root vegetables, paired with rice and scooped into a fresh coconut shell. 
"
45,"Tucked into a buzzing corner, this sunny little retreat packs a serious flavor punch. Guests may grab a seat at the counter facing the open kitchen, or in one of two dining areas decked out with sleek tables and blonde wood chairs. Weather permitting, there’s outdoor seating as well.Chef Wade Hoo Fatt is the man behind this menu, focused on the bright and healthy flavors of Vietnam's markets. Imagine the likes of spring rolls with pork and shrimp, or chilled rice noodles with pickled vegetables and a sweet-and-sour broth. Vegetarians will appreciate the shredded mango tossed with carrots, endive and a tamarind dressing; while fruit juices and smoothies are sure to sate many a sweet tooth.
"
46,"The space is snug, romantic and trendy; its cooking is notably creative; and beverages are reviving. Tastefully decked out with artwork, smoky mirrors and a full bar, gracious servers along with plush seats will lull you into a soothing and delicious meal.Chef Cristian Granada's dynamic menu certainly leans Peruvian, it also embraces the nation's wide terrain—from the coast all the way to influences from Europe and Asia. Behold the tiradito, featuring sashimi-grade ahi tuna with a passion fruit-and-orange sauce. Classics, like ají de gallina, is served with rice; while the much raved-about arroz chaufa is a global delight. Desserts, like the seasonal flan, warrant bright, beaming smiles.
"
47,"It is highly rare for a tasting menu to leave one feeling—well—energized, but so goes the imaginative cooking at this vegetable-focused gem. Who knew that turnip juice makes for good bread or that oysters can turn into a creamy and yet entirely creamless sauce? Chef Rob Rubba did, and his creations are delicious insights into what is possible with vegetables.Thin strands of fried celery root weaved around smoked tofu and garnished with onion powder is delicate and replete with umami. Roasted lion’s mane mushroom with spring onion mole and black-eyed peas is a combination you didn’t know you were craving. Local farms are the very essence of this sustainable restaurant; even carnivores cannot deny its food is original, confident and tastes as good as it looks.
"
48,"Chef Myo Htun, who hails from Myanmar, has spent time refining his culinary skills. The result? This vibrant Shaw operation, known for its conversation-worthy cocktails and excellent cuisine. Granted, while ramen may be all the rage in town, only a few rise to the level of this delicious hot spot. Not only are this chef's versions myriad, his approach is personal and especially slurpable. Diners may opt for the hot or cold ramen. The former (Chaplin A.S.S.) arrives with gloriously tender slabs of chicken and a sweltering broth; while the latter, with springy noodles, zesty ginger and cool cucumber, is equally gratifying. Bites, like gyoza, shumai and chap ban ji, are as intrinsic to this kitchen as the chocolate lava cake with Cognac and ice cream. 
"
49,"Take a break from the Beltway and head to Millie’s. It’s an offshoot of the Nantucket original, with a loyal whale-patterned shorts-wearing crowd. Sound preppy? It is. The space nails that breezy, nautical vibe with navy blue booths, a ceiling strung with boats and not-too-twee ship lanterns. It’s almost impossible not to be cheerful here—even the open kitchen buzzes with activity, simply enhancing the convivial aura.Equally upbeat is the menu that shines a spotlight on New England. Seared tuna tacos with wasabi cream and ceviche are light and refreshing; while the heady fragrance of the blue crab fried rice will induce envy from nearby tables. Maryland crab cake piled atop a fluffy brioche and slathered with herb aïoli tastes of summer by the sea.
"
50,"This bright and trendy sibling-owned spot is made with love—and it clearly shows. Enter to find a smattering of yellow metal chairs, walls vibrant with art and a kitchen teeming with a focused brigade—serious women chefs preparing complex Ethiopian fare, with nostalgia at the forefront.The family platter, with both vegetarian and meat dishes, is an excellent way to sample the variety. That beloved sour and spongy injera is ideal for sopping up the likes of gomen (collard greens with fresh garlic and onions) or kik alicha (a stew of yellow split peas with turmeric and ginger). Tikil gomen with cabbage and potatoes is an herbivore's dream; while quanta firfir, deliciously tender beef imbued with berbere and purified butter, has carnivores coming in droves.
"
