,0,1
72,"<div class=""js-show-description-text""><p><span>Chef Massimo Fabbri, who long ruled the kitchen at DC’s beloved Tosca, has traded in those white tablecloths for this neighborhood charmer, named after his son (Lorenzo is the “patron saint of cooks”). Photos of the chef's Tuscan hometown adorn the exposed brick walls and painted tiles line the floor, <span>...</span></span></p></div>",
73,"<div class=""js-show-description-text""><p></p><p>Tokyo-born Minoru Ogawa is running something of a mini-empire with Sushi Capitol, Mirai and the sushi counter at the Mandarin Oriental. But, Sushi Ogawa is his namesake and the most intimate (there are just seven seats at the counter). The interior design is clean and contemporary, with warm accents <span>...</span></p></div>",
74,"<div class=""js-show-description-text""><p></p><p>Tiger Fork feels secreted away. Indeed, its location off the main road makes finding it a challenge, but arrive and discover a sultry Hong Kong-style den. Inside, find brick walls emblazoned with dragons and mountains, Chinese basket-style lanterns, and warehouse floors that show off a sexy, hip look. Then <span>...</span></p></div>",
75,"<div class=""js-show-description-text""><p></p><p>With its white walls and seafoam-green booths, this “diner” may look like the classic American translation, but is in fact a far cry from your tuna-melt standby. Instead, this kitchen ramps up known classics by riffing on tradition. Need proof? Look no further than the kale nachos or meatloaf <span>...</span></p></div>",
76,"<div class=""js-show-description-text""><p></p><p>The once-mundane Blagden Alley now teems with exciting culinary gems, including The Dabney. Entering this spot is like finding the end of a rainbow—imagine a farmhouse-chic space with an open kitchen, wood-fired oven and well-dressed crowd.<br/>Thanks to Chef Jeremiah Langhorne's direction, the cuisine is suitable for anyone looking to delve <span>...</span></p></div>","<div class=""js-show-description-text"">
<p></p>
</div>"
77,"<div class=""js-show-description-text""><p>Brick walls, funky artwork and wood floors offset by greenery await at Anju. The result is a homey-meets-hip space that feels comfy even when jam-packed. The name refers to Korean dishes best enjoyed with alcohol, highlighting a range of sweet, salty and spicy tastes. Similarly, the menu showcases a series <span>...</span></p></div>",
78,"<div class=""js-show-description-text""><p>This large, square dining room is ultra-grand and yet ultra-charming, with a melange of earthy, vivid hues, an inviting bar, and display kitchen fitted out with a tandoor oven. Find a seat at one of the high-backed banquettes or wood tables to start sampling from the classic Persian menu. Get those <span>...</span></p></div>",
79,"<div class=""js-show-description-text""><p></p><p>This place is fit for royalty. The interior is drop-dead gorgeous with a can’t-stop-staring décor. From its honeycomb patterns on the walls and that large mural of the Hagia Sophia, to its whitewashed walls with glimmering deep-blue pendants, this restaurant brings a little bit of Istanbul to the Mt. <span>...</span></p></div>",
80,"<div class=""js-show-description-text""><p>A dining room that delivers a festive mood along with delightful food. Yes, it's an all-around win for this large Richard Sandoval operation, spread over two floors. The setting is chic, rustic and accoutred with private rooms, brick archways and leather seats; while the bar, which offers a view of <span>...</span></p></div>",
81,"<div class=""js-show-description-text""><p></p><p>Magnificent Métier may be accessed via an elevator, which deposits guests into a moody lounge. Beyond, lies the spare and sleek dining space, which may be best described as one part living room and two parts art gallery. This is one of those few places where jackets are required, <span>...</span></p></div>",
82,"<div class=""js-show-description-text""><p></p><p>Supra is a gem for Georgian cuisine, so make those resys. The dining room’s paneling and  wood tables lean elegant, while the hanging sheep hats flaunt regional flair. This chef churns out authentic dishes with a dose of delicious. Start with spreads and cheeses, before devouring soup dumplings or mussels. No diner worth their salt <span>...</span></p></div>",
83,"<div class=""js-show-description-text""><p></p><p>The original of four locations, Hank’s Oyster Bar promises a good time and a full stomach. Snag a seat on the spacious front patio or opt for a table indoors where bottles of malt vinegar and Old Bay seasoning are a sign of things to come.<br/>Meals begin with a <span>...</span></p></div>",
84,"<div class=""js-show-description-text""><p></p><p>Kinship is a prominent fixture thanks to Chef Eric Ziebold and wife/partner Célia Laurent’s inspired cuisine. They have earned a devoted following who gladly dress to dine here. In addition to Métier downstairs, the space comprises a fireplace-warmed lounge, lively bar and minimalist-chic dining room.<br/>The à la carte isn't <span>...</span></p></div>",
85,"<div class=""js-show-description-text""><p>If the name wasn’t already a giveaway, the large comal by the window and row of golden corn husks hanging along the wall should tell you what matters most to this restaurant—corn. Heirloom varieties sourced from Mexico are nixtamalized, ground into masa, pressed into tortillas, and griddled at all hours. <span>...</span></p></div>",
86,"<div class=""js-show-description-text""><p>Many diners walking into East End's shiny Capitol Crossing development already know what they’re ordering. Chef David Deshaies' 40-layer lasagna has captivated the city’s attention and rightfully so. Tender short rib, truffled mornay and razor-thin sheets of pasta make for a delicious trinity that tastes as good as it looks.<br/>With <span>...</span></p></div>",
87,"<div class=""js-show-description-text""><p>Astoria DC is a sultry and sexy Dupont Circle spot. It stands apart from its neighboring facades by way of gleaming glass panes etched with the name printed in gold leaf. If you can't stand the heat, then shy away from this scorcher, since they dole out some seriously fiery <span>...</span></p></div>",
88,"<div class=""js-show-description-text""><p></p><p><span><span><span>Aficionados give this respite a pass for its odd location—adjacent to a pharmacy and accessed by stairs—but the interior opens up into a warm dining room. Sushi Taro may offer à la carte and tastings, but the experience at the six-seat counter with a single service nightly is highly <span>...</span></span></span></span></p></div>",
89,"<div class=""js-show-description-text""><p></p><p>Large windows and a navy blue-and-white palette set a distinctly modern tone at this appropriately named Indian bistro. It is a far cry from your everyday curry house, as a great deal of care is taken to coax each dish with distinctive flavors. Even its spices are ground on the premises—while you wait, <span>...</span></p></div>",
90,"<div class=""js-show-description-text""><p>This Kalorama diva offers a unique setting, having taken up residence in a modest brick building. Walk through a set of doors to arrive at a cool marble bar, where sipping a cocktail is almost de rigueur. Up a few stairs and you're in the artwork-clad dining room, where elegance reigns <span>...</span></p></div>",
91,"<div class=""js-show-description-text""><p>This seductive dining room took a cool few million to create, but it is utterly chic and wholly Parisian. Pretty patio-facing marble tables, salmon-hued chairs, tufted banquettes, and greenery create the feeling of dining in a terrarium. Over in the kitchen, the chefs don't cling to any one trend. Imagine <span>...</span></p></div>",
92,"<div class=""js-show-description-text""><p>Swanky French wine bar meets delectable Asian bites at Bar Chinois. The space is eternally lively and the menu, with dim sum aplenty, is enticing.<br/>While this may be a bar first (thrilling cocktails include a martini with pickled pearl onions, pickled shiitake mushrooms, plus kombu and bonito flakes), the kitchen <span>...</span></p></div>",
93,"<div class=""js-show-description-text""><p>This farm-to-table restaurant in the stunning Conrad Hotel is an homage to the Chesapeake. Take the toasted Maryland blue crab and shrimp brioche roll, for instance, which oozes with organic butter and fish sauce-flavored mayonnaise. Old Bay fries make an excellent accompaniment to this item, not unlike the fennel pollen <span>...</span></p></div>",
94,"<div class=""js-show-description-text""><p>This lively operation arrives courtesy of Chef Katsuya Fukushima and the Daikaya Restaurant Group. Housed right by their sister spot, the minimalist space is clad with sleek dark wooden slats on the outside. Make your way inside, to the first level, which draws in a diverse crowd thanks to sleek <span>...</span></p></div>",
95,"<div class=""js-show-description-text""><p>It would be a mistake to write off Chef Matt Baker’s venture as just another hotel restaurant. This much is clear after an amuse of artichoke velouté. Indeed, freshly baked brioche, crispy duck confit and elaborately prepared vegetables score impressive marks at this French-American brasserie, named after the chef’s late <span>...</span></p></div>",
96,"<div class=""js-show-description-text""><p>A large greenery-donning patio out front greets diners to this ""cafe,"" set within a black-painted row house. The space, spread over two levels, is thoroughly charming, thanks to a bar lined with mid-century modern stools, exposed brick and plush seats. Edison bulbs and white hexagon floor tiles simply enhance the <span>...</span></p></div>",
97,"<div class=""js-show-description-text""><p>The old adage ""Never judge a book by its cover"" couldn't be more apt for this operation, which seems a most unlikely candidate for ""serious food."" It's vast and spread over three levels, but when you're seated in that perfect nook full of pretty people and tantalizing cocktails you'll start <span>...</span></p></div>",
